ONS.ID,Constituency,Nation,Region,2010.winner,2015.winner,2017.winner,2019.winner,Result.,Runner.up,Majority.2017,Majority.simple,Con.2019,Lab.2019,LDem.2019,Brex.2019,Grn.2019,SNP.2019,PC.2019,UKIP.2019,DUP.2019,SF.2019,SDLP.2019,UUP.2019,Alli.2019,Ind.2019,Oth...Ind,Oth...Ind.1,Turnout.2019,Turnout.2017,Turnout.2015,Turnout.2010,Winner.pct.2019,Runner.up.pct.2019,Con.pct.2019,Lab.pct.2019,LDem.pct.2019,Brex.pct.2019,Grn.pct.2019,SNP.pct.2019,PC.pct.2019,UKIP.pct.2019,DUP.pct.2019,SF.pct.2019,SDLP.pct.2019,UUP.pct.2019,Alli.pct.2019,Ind.pct.2019,Oth...Ind.2,Oth...Ind.3,Con.pct.change.2019,Lab.pct.change.2019,LDem.pct.change.2019,Brex.pct.change.2019,Grn.pct.change.2019,SNP.pct.change.2019,PC.pct.change.2019,UKIP.pct.change.2019,DUP.pct.change.2019,SF.pct.change.2019,SDLP.pct.change.2019,UUP.pct.change.2019,Alli.pct.change.2019,Ind.pct.change.2019,Oth...Ind.4,Oth...Ind.5,1st.place.2017,2nd.place.2017,Con.2017,Lab.2017,LDem.2017,Grn.2017,SNP.2017,PC.2017,UKIP.2017,DUP.2017,SF.2017,SDLP.2017,UUP.2017,Alli.2017,Oth.2017,Con.2015,Lab.2015,LDem.2015,Grn.2015,SNP.2015,PC.2015,UKIP.2015,Oth.2015,leave.vote.pct.2016,pct.18.29,pct.30.44 ,pct.45.64 ,pct.65plus ,born.in.EU.pct ,no.qualifications.pct ,with.degree.pct ,fulltime.students.pct ,student.households.pct ,pct.hhs.2plus.deprivational.indicators ,White.pct ,Mixed.pct ,Indian.pct ,Pakistani.pct ,Bangladeshi.pct ,Chinese.pct ,Other Asian.pct ,Black.pct ,Arab.pct ,Other.pct ,Christian.pct ,Buddhist.pct ,Hindu.pct ,Jewish.pct ,Muslim.pct ,Sikh.pct ,No.religion.pct ,pct.agriculture ,pct.mining ,pct.manufacturing,pct.construction ,pct.wholesale ,pct.transport ,pct.accommodation ,pct.communication ,pct.finance ,pct.real.estate ,pct.professionals ,pct.education ,pct.social work
W07000042,Delyn,WAL,WAL,Lab,Lab,Lab,Con,gain,Lab,10.8,2.3,16756,15891,2346,1971,0,0,1406,0,0,0,0,0,0,0,0,0,70.3,72.9,69.8,69.2,43.7,41.4,43.7,41.4,6.1,5.1,0,0,3.7,0,0,0,0,0,0,0,0,0,2.3,-10.8,3.5,5.1,0,0,-0.1,0,0,0,0,0,0,0,0,0,Lab,Con,41.4,52.2,2.6,NA,NA,3.8,0,NA,NA,NA,NA,NA,NA,32.7,40.5,3.7,1.8,NA,4.8,16.4,NA,54.8,12.8,18.1,29.3,18.9,4,24.5,12.2,6.4,0,25.5,98.8,0.5,0.2,0.1,0.1,0.2,0.2,0.1,0,0.1,67.4,0.2,0,0,0.3,0,24.3,1.2,0.3,18,8.2,14.7,4.2,5.6,1.7,2.9,1,4.7,9.6,11.7
E14000661,Denton and Reddish,ENG,NW,Lab,Lab,Lab,Lab,hold,Con,35.5,16,13142,19317,1642,3039,1124,0,0,0,0,0,0,0,0,0,0,324,58.3,58.5,58.1,58.1,50.1,34.1,34.1,50.1,4.3,7.9,2.9,0,0,0,0,0,0,0,0,0,0,0.8,6.1,-13.4,2.1,7.9,1.7,0,0,-4.5,0,0,0,0,0,0,0,0,Lab,Con,28,63.5,2.2,1.2,NA,NA,4.5,NA,NA,NA,NA,NA,0.5,23.7,50.8,2.5,3.8,NA,NA,18.7,0.6,61.9,15.4,20.5,26.4,16.3,3.7,27.7,8.9,6.3,0,29.4,94.4,1.8,0.6,1,0.2,0.6,0.3,0.9,0.1,0.1,66.7,0.3,0.4,0.1,1.5,0.1,24.7,0,0,11.4,8.9,18,6,4.2,2.7,4.5,1.7,5,8.5,12.1
E14000662,Derby North,ENG,EM,Lab,Con,Lab,Con,gain,Lab,4.1,5.4,21259,18719,3450,1908,1046,0,0,0,0,0,0,0,0,635,0,0,64.2,69.6,64.1,63.1,45.2,39.8,45.2,39.8,7.3,4.1,2.2,0,0,0,0,0,0,0,0,1.4,0,0,0.8,-8.7,2.7,4.1,2.2,0,0,-2.4,0,0,0,0,0,0,0,0,Lab,Con,44.4,48.5,4.6,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,36.7,36.6,8.6,3.6,NA,NA,14.6,NA,53.7,21,20,23.1,15.1,7.5,21.5,16.9,13.4,1.7,24.7,86.7,2.5,3.7,2.3,0.1,0.5,1.2,2.1,0.4,0.6,53.8,0.3,1,0,3.3,2.7,31.1,0.1,0.1,14.5,6.5,16.3,5,6.2,3,2.4,1.1,5,10.3,15.3
E14000663,Derby South,ENG,EM,Lab,Lab,Lab,Lab,hold,Con,24.8,14.2,15671,21690,2621,2480,0,0,0,0,0,0,0,0,0,0,0,0,58.1,64.8,58.1,58,51.1,36.9,36.9,51.1,6.2,5.8,0,0,0,0,0,0,0,0,0,0,0,0,3.4,-7.2,3.5,5.8,-1,0,0,-4.4,0,0,0,0,0,0,0,0,Lab,Con,33.5,58.3,2.7,1,NA,NA,4.4,NA,NA,NA,NA,NA,NA,27.4,49,4.2,3,NA,NA,15.5,0.9,61.6,18.1,21.6,21.3,13.2,10.7,28.7,11.7,8.6,0.3,32.8,69,3.9,6.3,11.2,0.5,0.5,2.1,4.5,0.4,1.7,47,0.4,1,0,14.2,5.5,25,0.2,0.1,17.1,5.8,16,7.1,6.6,2.2,2.1,1.1,3.9,8.2,14.7
E14000664,Derbyshire Dales,ENG,EM,Con,Con,Con,Con,hold,Lab,28.9,34.8,29356,11975,6627,0,2058,0,0,0,0,0,0,0,0,0,0,0,76.9,76.9,74.6,73.8,58.7,23.9,58.7,23.9,13.2,0,4.1,0,0,0,0,0,0,0,0,0,0,0,-1.3,-7.2,6.9,0,2.1,0,0,0,0,0,0,0,0,0,0,0,Con,Lab,60,31.1,6.3,2,NA,NA,NA,NA,NA,NA,NA,NA,0.6,52.4,22.7,8.4,4.6,NA,NA,11.6,0.3,51.3,9.8,16.7,32.1,22.4,2.7,21.4,20.9,5.3,0,19.4,98.5,0.7,0.2,0.1,0,0.1,0.2,0.1,0,0.1,68.8,0.2,0.1,0.1,0.2,0.1,23,3.6,1.1,11.6,8.5,13.7,3.9,7.1,2.6,1.6,1.6,6.6,11.2,11.4
E14000665,Devizes,ENG,SW,Con,Con,Con,Con,hold,LDem,41.7,47.1,32150,7838,8157,0,2809,0,0,0,0,0,0,0,0,0,0,0,69.4,70.1,70.8,68.8,63.1,16,63.1,15.4,16,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0.4,-5.6,6.7,0,2.3,0,0,-3.4,0,0,0,0,0,0,0,0,Con,Lab,62.7,21,9.3,3.2,NA,NA,3.4,NA,NA,NA,NA,NA,0.4,57.7,13,8.1,5.8,NA,NA,15.4,NA,51.5,15.9,19.6,26.1,16.3,7.4,17.1,15.8,5.5,0,16.6,95.9,1.2,0.3,0.1,0.1,0.3,0.6,1.3,0,0.2,65.5,0.4,0.4,0.1,0.4,0,25.1,2.2,0.1,7.6,7.1,12.5,2.8,4.5,3.6,2.5,1.4,6.1,8.6,9.3
E14000666,Dewsbury,ENG,YH,Con,Lab,Lab,Con,gain,Lab,5.9,2.8,26179,24618,2406,1874,1060,0,0,0,0,0,0,0,0,0,0,252,69.4,69.5,67.2,68.5,46.4,43.7,46.4,43.7,4.3,3.3,1.9,0,0,0,0,0,0,0,0,0,0,0.4,1.3,-7.3,2.2,3.3,0.1,0,0,0,0,0,0,0,0,0,0,0,Lab,Con,45.1,51,2.1,1.8,NA,NA,0,NA,NA,NA,NA,NA,NA,39.1,41.8,3.6,2.5,NA,NA,12.4,0.6,57.3,15.4,20.2,25.3,14.9,2.9,27.2,13,8.7,0,27.3,78.4,1.5,5.7,12.7,0.2,0.2,0.7,0.4,0.1,0.2,53.8,0.1,0.2,0,18.5,0.2,20.9,0.5,0.1,15.4,8.2,17.7,5.3,4.3,2.3,3.6,1.1,5.1,10.5,11.6
E14000667,Don Valley,ENG,YH,Lab,Lab,Lab,Con,gain,Lab,11.3,8,19609,15979,1907,6247,872,0,0,0,0,0,0,0,0,0,0,823,60.3,62.2,59.6,59.3,43.2,35.2,43.2,35.2,4.2,13.7,1.9,0,0,0,0,0,0,0,0,0,0,1.8,1.5,-17.8,2.3,13.7,1.9,0,0,0,0,0,0,0,0,0,0,0,Lab,Con,41.7,53,1.9,NA,NA,NA,0,NA,NA,NA,NA,NA,3.5,25.3,46.2,3.5,NA,NA,NA,23.5,1.6,68.6,14.7,18.6,27.8,18.1,3.2,30.2,8.3,5.8,0,29.1,97.1,0.9,0.4,0.4,0,0.3,0.3,0.5,0.1,0.1,68.9,0.2,0.2,0,0.8,0.2,22.9,0.6,0.7,10.7,10.6,18,6,4.7,2,2.5,0.9,3.6,9.1,13.4
E14000668,Doncaster Central,ENG,YH,Lab,Lab,Lab,Lab,hold,Con,23.5,5.5,14360,16638,1748,6842,981,0,0,0,0,0,0,0,0,0,0,1012,58.2,60,56.8,55.5,40,34.5,34.5,40,4.2,16.5,2.4,0,0,0,0,0,0,0,0,0,0,2.4,0.1,-17.9,1.9,16.5,2.4,0,0,0,0,0,0,0,0,0,0,0,Lab,Con,34.4,57.9,2.3,NA,NA,NA,0,NA,NA,NA,NA,NA,5.5,20.7,49.1,4.2,NA,NA,NA,24.1,1.8,66.3,16.8,20.4,25.5,15.8,11.7,27.9,8.9,6.2,0,29.6,91.2,1.5,1.2,2.1,0.1,0.6,1.2,1.4,0.2,0.6,63,0.3,0.5,0,3.7,0.8,24.2,0.3,0.4,10.8,8.4,19.7,7.9,5.4,2.4,2.5,0.8,3.2,8.3,14
E14000669,Doncaster North,ENG,YH,Lab,Lab,Lab,Lab,hold,Con,33.2,5.8,13370,15740,1476,8297,0,0,0,0,0,0,0,0,0,220,1598,0,56.2,58.5,55.7,57.3,38.7,32.8,32.8,38.7,3.6,20.4,0,0,0,0,0,0,0,0,0,0.5,NA,3.9,5.2,-22.1,1.9,20.4,0,0,0,-6.5,0,0,0,0,0,0,0,0,Lab,Con,27.6,60.8,1.7,NA,NA,NA,6.5,NA,NA,NA,NA,NA,3.5,18.3,52.4,2.5,1.9,NA,NA,22.6,2.2,72.1,15.1,18.8,26.7,16.9,3.1,32.8,6.4,5.8,0,33.4,97.8,0.9,0.2,0.1,0,0.2,0.3,0.4,0,0.1,66,0.2,0.1,0,0.4,0.1,26,0.8,0.6,10.4,10.3,20.6,6.8,4.8,2,2.3,0.8,3.1,8.2,12.5
