"","ONS.ID","Constituency","Nation","Region","2010.winner.winner","2015.winner.winner","2017.winner.winner","2019.winner.winner","Result.","Runner.up","Majority.2017","Majority.simple","X","Con.2019","Lab.2019","LDem.2019","Brex.2019","Grn.2019","SNP.2019","PC.2019","UKIP.2019","DUP.2019","SF.2019","SDLP.2019","UUP.2019","Alli.2019","Ind.2019","Oth...Ind","Oth...Ind.1","X.1","Turnout.2019","Turnout.2017","Turnout.2015","Turnout.2010","X.2","Winner.pct.2019","Runner.up.pct.2019","X.3","Con.pct.2019.pct.2019","Lab.pct.2019.pct.2019","LDem.pct.2019.pct.2019","Brex.pct.2019.pct.2019","Grn.pct.2019.pct.2019","SNP.pct.2019.pct.2019","PC.pct.2019.pct.2019","UKIP.pct.2019.pct.2019","DUP.pct.2019.pct.2019","SF.pct.2019.pct.2019","SDLP.pct.2019.pct.2019","UUP.pct.2019.pct.2019","Alli.pct.2019.pct.2019","Ind.pct.2019","Oth...Ind.2","Oth...Ind.3","X.4","Con.pct.change.29.pct.change.2019","Lab.pct.change.29.pct.change.2019","LDem.pct.change.29.pct.change.2019","Brex.pct.change.29.pct.change.2019","Grn.pct.change.29.pct.change.2019","SNP.pct.change.29.pct.change.2019","PC.pct.change.29.pct.change.2019","UKIP.pct.change.29.pct.change.2019","DUP.pct.change.29.pct.change.2019","SF.pct.change.29.pct.change.2019","SDLP.pct.change.29.pct.change.2019","UUP.pct.change.29.pct.change.2019","Alli.pct.change.29.pct.change.2019","Ind.pct.change.2019","Oth...Ind.4","Oth...Ind.5","X.5","1st.place.2017","2nd.place.2017","Con.2017","Lab.2017","LDem.2017","Grn.2017","SNP.2017","PC.2017","UKIP.2017","DUP.2017","SF.2017","SDLP.2017","UUP.2017","Alli.2017","Oth.2017","Con.2015","Lab.2015","LDem.2015","Grn.2015","SNP.2015","PC.2015","UKIP.2015","Oth.2015","leave.vote.pct.2016","pct.18.29","pct.30.44 ","pct.45.64 ","pct.65plus ","born.in.EU.pct ","no.qualifications.pct ","with.degree.pct ","fulltime.students.pct ","student.households.pct ","pct.hhs.2plus.deprivational.indicators ","White.pct ","Mixed.pct ","Indian.pct ","Pakistani.pct ","Bangladeshi.pct ","Chinese.pct ","Other Asian.pct ","Black.pct ","Arab.pct ","Other.pct ","Christian.pct ","Buddhist.pct ","Hindu.pct ","Jewish.pct ","Muslim.pct ","Sikh.pct ","No.religion.pct ","pct.agriculture ","pct.mining ","pct.manufacturing","pct.construction ","pct.wholesale ","pct.transport ","pct.accommodation ","pct.communication ","pct.finance ","pct.real.estate ","pct.professionals ","pct.education ","pct.social work"
"58","E14000571","Blackley and Broughton","ENG","NW","Lab","Lab","Lab","Lab","hold","Con",48.8,37.3,NA,"9,485","23,887","1,590","2,736","920","","","","","","","","","","","",NA,"52.6",56,51.6,49.2,NA,61.9,24.6,NA,24.6,61.9,4.1,7.1,2.4,0,0,0,0,0,0,0,0,0,0,0,NA,3,-8.5,2.3,7.1,1.2,0,0,-4.5,0,0,0,0,0,0,0,0,NA,"Lab","Con",21.6,70.4,1.8,1.2,NA,NA,4.5,NA,NA,NA,NA,NA,0.4,15,61.9,2.4,4.2,NA,NA,16.5,NA,51.3,19.9,22.1,19.8,11.1,13.1,31.8,13.6,11.4,0.5,39.2,68,3.7,1.7,10.2,0.2,1.9,3,8.3,1.6,1.3,50.4,0.6,0.7,7.2,16.7,0.5,16.6,0,0,6.3,5.8,17.8,6,8.6,2.8,4.1,1.8,5.2,10.3,13.9
"59","E14000572","Blackpool North and Cleveleys","ENG","NW","Con","Con","Con","Con","hold","Lab",4.9,22.2,NA,"22,364","13,768","1,494","","735","","","","","","","","","443","","",NA,"60.9",64.1,63.1,61.6,NA,57.6,35.5,NA,57.6,35.5,3.9,0,1.9,0,0,0,0,0,0,0,0,1.1,0,0,NA,8.2,-9,2.1,0,1,0,0,-3.4,0,0,0,0,0,0,0,0,NA,"Con","Lab",49.4,44.5,1.8,0.9,NA,NA,3.4,NA,NA,NA,NA,NA,NA,44.4,36,2.4,2.3,NA,NA,14.8,0.1,66.9,12.9,18.4,27.1,22.1,4.2,29.7,7.9,6.4,0.1,33.5,97.3,1,0.4,0.1,0.1,0.3,0.5,0.2,0.1,0.1,69.2,0.3,0.2,0.2,0.5,0,22.7,0.2,0.1,7.5,7.8,15.5,4.6,9.8,2.2,2.6,1,3.6,7.8,14.6
"60","E14000573","Blackpool South","ENG","NW","Lab","Lab","Lab","Con","gain","Lab",7.2,11.3,NA,"16,247","12,557","1,008","2,009","563","","","","","","","","","368","","",NA,"56.8",59.8,56.5,55.8,NA,49.6,38.3,NA,49.6,38.3,3.1,6.1,1.7,0,0,0,0,0,0,0,0,1.1,0,0,NA,6.5,-12,1.3,6.1,0.7,0,0,-3.8,0,0,0,0,0,0,0,0,NA,"Lab","Con",43.1,50.3,1.8,1,NA,NA,3.8,NA,NA,NA,NA,NA,NA,33.8,41.8,2.3,2.6,NA,NA,17.3,2.2,67.8,15.2,18.9,27.3,18.1,5.8,32,6.4,6.7,0.1,37,96.6,1.3,0.4,0.2,0.2,0.4,0.5,0.2,0.1,0.1,67,0.3,0.3,0.2,0.8,0,24.8,0.1,0.1,8.4,7.1,16.8,4.8,13,2.1,3,1,3.1,6.1,14.8
"61","W07000072","Blaenau Gwent","WAL","WAL","Lab","Lab","Lab","Lab","hold","Brex",36.8,28.6,NA,"5,749","14,862","1,285","6,215","386","","1,722","","","","","","","","","",NA,"59.6",63.2,61.7,61.8,NA,49.2,20.6,NA,19,49.2,4.3,20.6,1.3,0,5.7,0,0,0,0,0,0,0,0,0,NA,4.2,-8.8,3.4,20.6,1.3,0,-15.5,-3,0,0,0,0,0,0,0,0,NA,"Lab","PC",14.8,58,0.9,NA,NA,21.2,3,NA,NA,NA,NA,NA,2.1,10.8,58,2,2.3,NA,9,17.9,NA,62,15.3,19.4,26.6,17.9,2.1,36,6.4,6.3,0,39.8,98.5,0.6,0.3,0.1,0,0.2,0.1,0.1,0,0.1,49.9,0.2,0.1,0,0.3,0.1,41.1,0.3,0.3,20.1,7.9,15.2,3.9,4.6,1,1.7,1.1,2,7.9,17.3
"62","E14000574","Blaydon","ENG","NE","Lab","Lab","Lab","Lab","hold","Con",28,12.1,NA,"14,263","19,794","3,703","5,833","1,279","","","","","","","","","76","","733",NA,"67.3",70.2,66.4,66.2,NA,43.3,31.2,NA,31.2,43.3,8.1,12.8,2.8,0,0,0,0,0,0,0,0,0.2,0,1.6,NA,3.1,-12.8,-1,12.8,1.6,0,0,-5.1,0,0,0,0,0,0,0,0,NA,"Lab","Con",28.1,56.1,9.1,1.2,NA,NA,5.1,NA,NA,NA,NA,NA,0.4,17.4,49.2,12.2,3.7,NA,NA,17.5,NA,56.3,12.9,19.3,28.3,19.7,2,25.4,12.7,6,0,26.4,98.2,0.6,0.3,0.2,0,0.2,0.2,0.2,0.1,0.1,70.6,0.2,0.1,0.1,0.4,0.1,22.7,0.3,0.2,10.4,8.2,17.5,5.1,4.7,3,3,1.4,4.8,9.4,13.8
"63","E14000575","Blyth Valley","ENG","NE","Lab","Lab","Lab","Con","gain","Lab",18.6,1.7,NA,"17,440","16,728","2,151","3,394","1,146","","","","","","","","","","","",NA,"63.4",67,60.1,60,NA,42.7,40.9,NA,42.7,40.9,5.3,8.3,2.8,0,0,0,0,0,0,0,0,0,0,0,NA,5.4,-15,0.7,8.3,0.6,0,0,0,0,0,0,0,0,0,0,0,NA,"Lab","Con",37.3,55.9,4.6,2.2,NA,NA,0,NA,NA,NA,NA,NA,NA,21.7,46.3,5.9,3.8,NA,NA,22.3,NA,59.9,13.9,19.3,29,17.1,2.1,25.7,8.6,5.8,0,27.3,98.7,0.6,0.2,0.1,0.1,0.1,0.1,0.1,0,0,64.9,0.1,0.1,0,0.3,0.1,27.9,0.3,0.4,11.5,8.4,15.9,4.8,4.9,3.1,3.2,1.3,4.1,7.7,13.6
"64","E14000576","Bognor Regis and Littlehampton","ENG","SE","Con","Con","Con","Con","hold","Lab",34.1,43.9,NA,"32,521","10,018","5,645","","1,826","","","846","","","","","","367","","",NA,"66.1",67.7,64.5,66.2,NA,63.5,19.6,NA,63.5,19.6,11,0,3.6,0,0,1.7,0,0,0,0,0,0.7,0,0,NA,4.5,-5.3,4.5,0,1.7,0,0,-1.9,0,0,0,0,0,0,0,0,NA,"Con","Lab",59,24.9,6.5,1.9,NA,NA,3.6,NA,NA,NA,NA,NA,4.1,51.3,13.8,9,4.1,NA,NA,21.7,NA,64.2,13.9,17.8,26.4,23.9,11.6,26,8.9,6,0.2,26.1,96.6,1.1,0.4,0.1,0.3,0.3,0.6,0.4,0.1,0.1,64.2,0.3,0.2,0.1,0.7,0,26.3,1.9,0.1,9.1,9,17.7,4.5,7.1,2.5,2.8,1.4,4.2,7.8,14.8
"65","E14000577","Bolsover","ENG","EM","Lab","Lab","Lab","Con","gain","Lab",11.3,11.5,NA,"21,791","16,492","1,759","4,151","758","","","","","","","","","987","","",NA,"61.1",63.4,61.1,60.5,NA,47.4,35.9,NA,47.4,35.9,3.8,9,1.7,0,0,0,0,0,0,0,0,2.1,0,0,NA,6.8,-16,0.9,9,1.7,0,0,-4.6,0,0,0,0,0,0,0,0,NA,"Lab","Con",40.6,51.9,2.9,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,24.5,51.2,3.3,NA,NA,NA,21,NA,70.3,13.8,19.7,27.5,18.5,3.1,32.8,7.2,5.5,0,32.7,98,0.7,0.3,0.1,0,0.2,0.2,0.4,0,0,65.3,0.1,0.1,0,0.2,0.1,26.8,0.8,0.8,15.3,8.9,19,5.6,4.9,1.8,1.7,1,3.5,7.7,14.2
"66","E14000578","Bolton North East","ENG","NW","Lab","Lab","Lab","Con","gain","Lab",8.4,0.9,NA,"19,759","19,381","1,847","1,880","689","","","","","","","","","","","",NA,"64.5",67.2,63.6,64.3,NA,45.4,44.5,NA,45.4,44.5,4.2,4.3,1.6,0,0,0,0,0,0,0,0,0,0,0,NA,3.2,-6.1,1.3,4.3,0.8,0,0,-3.5,0,0,0,0,0,0,0,0,NA,"Lab","Con",42.2,50.6,2.9,0.8,NA,NA,3.5,NA,NA,NA,NA,NA,NA,32.8,43,2.9,2.6,NA,NA,18.8,NA,57.8,16.1,20.1,25,15.9,4.9,26.9,12.5,8.1,0.3,29.9,82.5,1.8,7.8,3.8,0.1,0.7,0.9,1.8,0.3,0.4,62.1,0.2,1.4,0.1,11.7,0,18.3,0.1,0,10.5,8.4,18.8,5.1,5.1,2.5,3.6,1.5,5,10,12.4
"67","E14000579","Bolton South East","ENG","NW","Lab","Lab","Lab","Lab","hold","Con",31,18.7,NA,"13,918","21,516","1,411","2,968","791","","","","","","","","","","","",NA,"58.7",61.4,58.5,56.6,NA,53,34.3,NA,34.3,53,3.5,7.3,1.9,0,0,0,0,0,0,0,0,0,0,0,NA,4.6,-7.7,1.7,7.3,0.6,0,0,-6.6,0,0,0,0,0,0,0,0,NA,"Lab","Con",29.7,60.7,1.8,1.3,NA,NA,6.6,NA,NA,NA,NA,NA,NA,20.3,50.5,2.6,2.9,NA,NA,23.6,NA,63.4,16.8,21,22.9,13.9,5,30.8,9.2,8.9,0.2,34.3,73,1.9,11.6,7.2,0.5,0.5,1.8,2.4,0.4,0.6,56.6,0.2,3.2,0.1,18.6,0,15.6,0.1,0,11.2,8.4,20.8,6.4,5,2.4,3,1.1,4.1,7.8,13.4
